network_id,topology,n_nodes,n_edges,density,phi,computation_time,timestamp,tpm_rule,state
erdos_renyi_n4_p0.2_20251206_112644_090924,erdos_renyi,4,3,0.25,0.0,0.0025191307067871,2025-12-06T11:26:44.140998,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_092286,erdos_renyi,4,3,0.25,0.0,0.0023243427276611,2025-12-06T11:26:44.143288,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_089307,erdos_renyi,4,3,0.25,0.0,0.0029017925262451,2025-12-06T11:26:44.144193,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_089972,erdos_renyi,4,3,0.25,0.0,0.0028383731842041,2025-12-06T11:26:44.146450,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_089633,erdos_renyi,4,3,0.25,0.0,0.0028750896453857,2025-12-06T11:26:44.147260,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_091610,erdos_renyi,4,3,0.25,0.0,0.0024282932281494,2025-12-06T11:26:44.148014,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_088709,erdos_renyi,4,3,0.25,0.0,0.0029966831207275,2025-12-06T11:26:44.148771,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_090354,erdos_renyi,4,3,0.25,0.0,0.0026447772979736,2025-12-06T11:26:44.149568,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_090634,erdos_renyi,4,3,0.25,0.0,0.0026662349700927,2025-12-06T11:26:44.150408,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_092560,erdos_renyi,4,3,0.25,0.0,0.0004804134368896,2025-12-06T11:26:44.151211,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_091889,erdos_renyi,4,3,0.25,0.0,0.0025086402893066,2025-12-06T11:26:44.151981,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_093174,erdos_renyi,4,3,0.25,0.0,0.0004901885986328,2025-12-06T11:26:44.152731,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_092804,erdos_renyi,4,3,0.25,0.0,0.000504732131958,2025-12-06T11:26:44.153534,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_091335,erdos_renyi,4,3,0.25,0.0,0.0026390552520751,2025-12-06T11:26:44.154340,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_093477,erdos_renyi,4,3,0.25,0.0,0.0005843639373779,2025-12-06T11:26:44.155096,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_093734,erdos_renyi,4,3,0.25,0.0,0.0005404949188232,2025-12-06T11:26:44.155873,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_094663,erdos_renyi,4,3,0.25,0.0,0.0004334449768066,2025-12-06T11:26:44.156680,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_094957,erdos_renyi,4,3,0.25,0.0,0.0004260540008544,2025-12-06T11:26:44.157488,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_094416,erdos_renyi,4,3,0.25,0.0,0.0005195140838623,2025-12-06T11:26:44.158265,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_094094,erdos_renyi,4,3,0.25,0.0,0.0005764961242675,2025-12-06T11:26:44.159015,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_095437,erdos_renyi,4,3,0.25,0.0,0.0003368854522705,2025-12-06T11:26:44.159912,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_095708,erdos_renyi,4,3,0.25,0.0,0.0003135204315185,2025-12-06T11:26:44.160692,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_096386,erdos_renyi,4,3,0.25,0.0,0.0003590583801269,2025-12-06T11:26:44.161493,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_097573,erdos_renyi,4,3,0.25,0.0,0.0002686977386474,2025-12-06T11:26:44.162261,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_097821,erdos_renyi,4,3,0.25,0.0,0.0002679824829101,2025-12-06T11:26:44.163009,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_096638,erdos_renyi,4,3,0.25,0.0,0.00042724609375,2025-12-06T11:26:44.163773,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_098701,erdos_renyi,4,3,0.25,0.0,0.000241994857788,2025-12-06T11:26:44.164572,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_099038,erdos_renyi,4,3,0.25,0.0,0.0002369880676269,2025-12-06T11:26:44.165383,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_097309,erdos_renyi,4,3,0.25,0.0,0.0004093647003173,2025-12-06T11:26:44.166177,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_096906,erdos_renyi,4,3,0.25,0.0,0.0004158020019531,2025-12-06T11:26:44.166964,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_096053,erdos_renyi,4,3,0.25,0.0,0.0006406307220458,2025-12-06T11:26:44.167728,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_098181,erdos_renyi,4,3,0.25,0.0,0.0004372596740722,2025-12-06T11:26:44.168546,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_098463,erdos_renyi,4,3,0.25,0.0,0.0004341602325439,2025-12-06T11:26:44.169355,or,[1 1 1 1]
erdos_renyi_n4_p0.2_20251206_112644_099622,erdos_renyi,4,3,0.25,0.0,0.0002965927124023,2025-12-06T11:26:44.170165,or,[1 1 1 1]
